*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,BrandingTheme
Individual Sales,"","","","","","","","","",b10012018,Daily Sales,10/01/2018,10/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c09012018,Daily Sales,09/01/2018,09/01/2018,"","",Cash,1,44.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p09012018,Daily Sales,09/01/2018,09/01/2018,"","",Card,1,153.94,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b09012018,Daily Sales,09/01/2018,09/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c08012018,Daily Sales,08/01/2018,08/01/2018,"","",Cash,1,51.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p08012018,Daily Sales,08/01/2018,08/01/2018,"","",Card,1,182.25,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b08012018,Daily Sales,08/01/2018,08/01/2018,"","",Bank,1,12.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c07012018,Daily Sales,07/01/2018,07/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p07012018,Daily Sales,07/01/2018,07/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b07012018,Daily Sales,07/01/2018,07/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c06012018,Daily Sales,06/01/2018,06/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p06012018,Daily Sales,06/01/2018,06/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b06012018,Daily Sales,06/01/2018,06/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c05012018,Daily Sales,05/01/2018,05/01/2018,"","",Cash,1,54.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p05012018,Daily Sales,05/01/2018,05/01/2018,"","",Card,1,76.34,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b05012018,Daily Sales,05/01/2018,05/01/2018,"","",Bank,1,11.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c04012018,Daily Sales,04/01/2018,04/01/2018,"","",Cash,1,27.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p04012018,Daily Sales,04/01/2018,04/01/2018,"","",Card,1,86.01,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b04012018,Daily Sales,04/01/2018,04/01/2018,"","",Bank,1,5.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c03012018,Daily Sales,03/01/2018,03/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p03012018,Daily Sales,03/01/2018,03/01/2018,"","",Card,1,7.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b03012018,Daily Sales,03/01/2018,03/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c02012018,Daily Sales,02/01/2018,02/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p02012018,Daily Sales,02/01/2018,02/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b02012018,Daily Sales,02/01/2018,02/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c01012018,Daily Sales,01/01/2018,01/01/2018,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p01012018,Daily Sales,01/01/2018,01/01/2018,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b01012018,Daily Sales,01/01/2018,01/01/2018,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c31122017,Daily Sales,31/12/2017,31/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p31122017,Daily Sales,31/12/2017,31/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b31122017,Daily Sales,31/12/2017,31/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c30122017,Daily Sales,30/12/2017,30/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p30122017,Daily Sales,30/12/2017,30/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b30122017,Daily Sales,30/12/2017,30/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c29122017,Daily Sales,29/12/2017,29/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p29122017,Daily Sales,29/12/2017,29/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b29122017,Daily Sales,29/12/2017,29/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c28122017,Daily Sales,28/12/2017,28/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p28122017,Daily Sales,28/12/2017,28/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b28122017,Daily Sales,28/12/2017,28/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c27122017,Daily Sales,27/12/2017,27/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p27122017,Daily Sales,27/12/2017,27/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b27122017,Daily Sales,27/12/2017,27/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c26122017,Daily Sales,26/12/2017,26/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p26122017,Daily Sales,26/12/2017,26/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b26122017,Daily Sales,26/12/2017,26/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c25122017,Daily Sales,25/12/2017,25/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p25122017,Daily Sales,25/12/2017,25/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b25122017,Daily Sales,25/12/2017,25/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c24122017,Daily Sales,24/12/2017,24/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p24122017,Daily Sales,24/12/2017,24/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b24122017,Daily Sales,24/12/2017,24/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c23122017,Daily Sales,23/12/2017,23/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p23122017,Daily Sales,23/12/2017,23/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b23122017,Daily Sales,23/12/2017,23/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c22122017,Daily Sales,22/12/2017,22/12/2017,"","",Cash,1,28.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p22122017,Daily Sales,22/12/2017,22/12/2017,"","",Card,1,101.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b22122017,Daily Sales,22/12/2017,22/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c21122017,Daily Sales,21/12/2017,21/12/2017,"","",Cash,1,33.2,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p21122017,Daily Sales,21/12/2017,21/12/2017,"","",Card,1,130.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b21122017,Daily Sales,21/12/2017,21/12/2017,"","",Bank,1,6.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c20122017,Daily Sales,20/12/2017,20/12/2017,"","",Cash,1,34.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p20122017,Daily Sales,20/12/2017,20/12/2017,"","",Card,1,147.8,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b20122017,Daily Sales,20/12/2017,20/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c19122017,Daily Sales,19/12/2017,19/12/2017,"","",Cash,1,43.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p19122017,Daily Sales,19/12/2017,19/12/2017,"","",Card,1,156.1,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b19122017,Daily Sales,19/12/2017,19/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c18122017,Daily Sales,18/12/2017,18/12/2017,"","",Cash,1,41.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p18122017,Daily Sales,18/12/2017,18/12/2017,"","",Card,1,148.38,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b18122017,Daily Sales,18/12/2017,18/12/2017,"","",Bank,1,7.34,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c17122017,Daily Sales,17/12/2017,17/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p17122017,Daily Sales,17/12/2017,17/12/2017,"","",Card,1,15.4,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b17122017,Daily Sales,17/12/2017,17/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c16122017,Daily Sales,16/12/2017,16/12/2017,"","",Cash,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p16122017,Daily Sales,16/12/2017,16/12/2017,"","",Card,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b16122017,Daily Sales,16/12/2017,16/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c15122017,Daily Sales,15/12/2017,15/12/2017,"","",Cash,1,13.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p15122017,Daily Sales,15/12/2017,15/12/2017,"","",Card,1,121.5,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b15122017,Daily Sales,15/12/2017,15/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c14122017,Daily Sales,14/12/2017,14/12/2017,"","",Cash,1,33.3,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p14122017,Daily Sales,14/12/2017,14/12/2017,"","",Card,1,154.56,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b14122017,Daily Sales,14/12/2017,14/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c13122017,Daily Sales,13/12/2017,13/12/2017,"","",Cash,1,27.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p13122017,Daily Sales,13/12/2017,13/12/2017,"","",Card,1,180.9,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",b13122017,Daily Sales,13/12/2017,13/12/2017,"","",Bank,1,0.0,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",c12122017,Daily Sales,12/12/2017,12/12/2017,"","",Cash,1,42.6,"",200,20% (VAT on Income),"","","","","","",""
Individual Sales,"","","","","","","","","",p12122017,Daily Sales,12/12/2017,12/12/2017,"","",Card,1,156.3,"",200,20% (VAT on Income),"","","","","","",""
